evaluation_case_id,case_id,stratum,blinded_file
P001,H3_20241028_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P001.json
P002,H123_20240923_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P002.json
P003,H189_20240318_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P003.json
P004,H220_20240722_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P004.json
P005,H223_20240415_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P005.json
P006,H225_20241104_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P006.json
P007,H308_20241125_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P007.json
P008,H345_20240923_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P008.json
P009,H363_20240729_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P009.json
P010,H468_20240909_L4,broad_deterioration,..\outputs\human_evaluation_v2\blinded_cases\P010.json
P011,H32_20241014_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P011.json
P012,H77_20241202_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P012.json
P013,H97_20240115_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P013.json
P014,H121_20240826_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P014.json
P015,H137_20240422_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P015.json
P016,H149_20240729_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P016.json
P017,H247_20240923_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P017.json
P018,H324_20240401_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P018.json
P019,H413_20240610_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P019.json
P020,H492_20241104_L4,mixed_or_weak_signals,..\outputs\human_evaluation_v2\blinded_cases\P020.json
P021,H20_20240819_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P021.json
P022,H65_20240819_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P022.json
P023,H72_20240129_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P023.json
P024,H131_20240923_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P024.json
P025,H288_20240311_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P025.json
P026,H300_20240617_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P026.json
P027,H407_20240722_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P027.json
P028,H414_20240513_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P028.json
P029,H499_20240429_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P029.json
P030,H556_20240603_L4,stable_or_healthy,..\outputs\human_evaluation_v2\blinded_cases\P030.json
P031,H51_20240129_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P031.json
P032,H83_20241021_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P032.json
P033,H217_20240311_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P033.json
P034,H317_20240506_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P034.json
P035,H364_20240520_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P035.json
P036,H400_20240617_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P036.json
P037,H424_20240930_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P037.json
P038,H430_20240226_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P038.json
P039,H436_20240429_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P039.json
P040,H533_20240722_L4,strong_performance_experience_warning,..\outputs\human_evaluation_v2\blinded_cases\P040.json
