experiment_version,pilot_id,case_id,system,status,elapsed_seconds,started_at_utc,finished_at_utc,error_type,error_message,output_path
pilot_v1,P001,H3_20241028_L4,frequency_baseline,success,0.0,2026-09-08T15:39:01.269233+00:00,2026-09-08T15:39:01.269233+00:00,,,..\outputs\experiment_v1\frequency_baseline\P001_H3_20241028_L4.json
pilot_v1,P001,H3_20241028_L4,generic_llm,success,33.673,2026-09-08T15:39:01.276650+00:00,2026-09-08T15:39:34.942062+00:00,,,..\outputs\experiment_v1\generic_llm\P001_H3_20241028_L4.json
pilot_v1,P001,H3_20241028_L4,evidence_informed,success,50.488,2026-09-08T15:39:34.958794+00:00,2026-09-08T15:40:25.440034+00:00,,,..\outputs\experiment_v1\evidence_informed\P001_H3_20241028_L4.json
pilot_v1,P002,H123_20240923_L4,frequency_baseline,success,0.0,2026-09-08T15:40:26.230197+00:00,2026-09-08T15:40:26.230197+00:00,,,..\outputs\experiment_v1\frequency_baseline\P002_H123_20240923_L4.json
pilot_v1,P002,H123_20240923_L4,generic_llm,success,27.907,2026-09-08T15:40:26.234953+00:00,2026-09-08T15:40:54.142849+00:00,,,..\outputs\experiment_v1\generic_llm\P002_H123_20240923_L4.json
pilot_v1,P002,H123_20240923_L4,evidence_informed,success,85.073,2026-09-08T15:40:54.144926+00:00,2026-09-08T15:42:19.215189+00:00,,,..\outputs\experiment_v1\evidence_informed\P002_H123_20240923_L4.json
pilot_v1,P003,H189_20240318_L4,frequency_baseline,success,0.0,2026-09-08T15:42:19.510241+00:00,2026-09-08T15:42:19.510241+00:00,,,..\outputs\experiment_v1\frequency_baseline\P003_H189_20240318_L4.json
pilot_v1,P003,H189_20240318_L4,generic_llm,success,32.725,2026-09-08T15:42:19.510241+00:00,2026-09-08T15:42:52.242318+00:00,,,..\outputs\experiment_v1\generic_llm\P003_H189_20240318_L4.json
pilot_v1,P003,H189_20240318_L4,evidence_informed,success,43.229,2026-09-08T15:42:52.250976+00:00,2026-09-08T15:43:35.476852+00:00,,,..\outputs\experiment_v1\evidence_informed\P003_H189_20240318_L4.json
pilot_v1,P004,H220_20240722_L4,frequency_baseline,success,0.0,2026-09-08T15:43:35.702311+00:00,2026-09-08T15:43:35.702311+00:00,,,..\outputs\experiment_v1\frequency_baseline\P004_H220_20240722_L4.json
