pilot_id,case_id,hotel_id,hotel_name,nuts2,stars,decision_week,decision_date,window_start,window_end,lookback_weeks,reviews_in_window,avg_reviews_per_week,latest_week_reviews,stratum,experience_warning_count,experience_warning_metrics,performance_deterioration_count,performance_improvement_count,performance_stable_or_mixed_count,performance_deterioration_metrics,performance_improvement_metrics,revpar_direction,revpar_trend_strength,revpar_percentage_change,trevpar_direction,occupancy_direction,sentiment_direction,expectation_gap_direction,misalignment_direction,violation_ratio_direction,emotion_entropy_direction,operational_complaints_direction,latest_revpar,latest_rating,latest_sentiment,latest_expectation_gap,latest_misalignment,latest_violation_ratio
P001,H3_20241028_L4,3,Hotel Olissippo MarquÃªs de SÃ¡,Grande Lisboa,4.0,2024_W44,2024-10-28,2024-10-07,2024-11-03,4,115,28.75,27,broad_deterioration,3,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'PERC_OPERATIONAL_COMPLAINTS']",3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-12.47303394999102,decreasing,decreasing,decreasing,increasing,increasing,fluctuating,fluctuating,increasing,71.05871771126019,7.888888888888889,-0.0333333333333333,0.2472222222222222,0.3,0.9375
P002,H123_20240923_L4,123,Belmar Spa & Beach Resort,Algarve,4.0,2024_W39,2024-09-23,2024-09-02,2024-09-29,4,130,32.5,25,broad_deterioration,4,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EXPECTATION_VIOLATION_RATIO']",2,0,1,"['REVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,consistent,-17.81694061059553,fluctuating,decreasing,decreasing,increasing,increasing,increasing,decreasing,fluctuating,156.22327817999445,8.68,0.2133333333333333,0.25,0.2852941176470588,1.1666666666666667
P003,H189_20240318_L4,189,MediterrÃ¢neo Madeira,Região Autónoma da Madeira,2.0,2024_W12,2024-03-18,2024-02-26,2024-03-24,4,32,8.0,4,broad_deterioration,4,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EMOTION_ENTROPY']",3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-21.59804342852297,decreasing,decreasing,decreasing,increasing,increasing,stable,increasing,decreasing,43.294179452054806,8.75,0.25,0.2666666666666666,0.3999999999999999,1.0
P004,H220_20240722_L4,220,Lx Center Chiado,Grande Lisboa,,2024_W30,2024-07-22,2024-07-01,2024-07-28,4,28,7.0,6,broad_deterioration,5,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EMOTION_ENTROPY', 'PERC_OPERATIONAL_COMPLAINTS']",3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-5.124768200033359,decreasing,decreasing,decreasing,increasing,increasing,stable,increasing,increasing,54.99613610013175,7.5,0.0599999999999999,0.2666666666666666,0.2666666666666666,1.0
P005,H223_20240415_L4,223,Thomar Boutique Hotel,Oeste e Vale do Tejo,4.0,2024_W16,2024-04-15,2024-03-25,2024-04-21,4,92,23.0,23,broad_deterioration,3,"['EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EMOTION_ENTROPY']",3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-8.665793269032504,decreasing,decreasing,fluctuating,increasing,increasing,stable,increasing,fluctuating,83.34363757102273,9.478260869565217,0.4526315789473685,0.0291666666666666,0.0291666666666666,1.0
P006,H225_20241104_L4,225,Hotel ValenÃ§a do Minho,Norte,2.0,2024_W45,2024-11-04,2024-10-14,2024-11-10,4,25,6.25,11,broad_deterioration,4,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_VIOLATION_RATIO', 'EMOTION_ENTROPY', 'PERC_OPERATIONAL_COMPLAINTS']",3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-31.524092974419244,decreasing,decreasing,decreasing,increasing,increasing,increasing,increasing,increasing,10.351889749608764,8.181818181818182,0.075,0.19,0.22,1.0
P007,H308_20241125_L4,308,Essence inn Marianos,Oeste e Vale do Tejo,4.0,2024_W48,2024-11-25,2024-11-04,2024-12-01,4,23,5.75,3,broad_deterioration,3,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG']",3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,moderate,-33.39456183561612,decreasing,decreasing,decreasing,increasing,increasing,stable,decreasing,stable,23.02313430411952,9.0,-0.2,0.35,0.7,1.0
P008,H345_20240923_L4,345,Hotel Moutados,Norte,3.0,2024_W39,2024-09-23,2024-09-02,2024-09-29,4,34,8.5,7,broad_deterioration,5,"['EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EXPECTATION_VIOLATION_RATIO', 'EMOTION_ENTROPY', 'PERC_OPERATIONAL_COMPLAINTS']",2,1,0,"['REVPAR_WEEK', 'TREVPAR_WEEK']",['TAXA_OCUPACAO'],decreasing,moderate,-12.165759564090138,decreasing,increasing,increasing,increasing,increasing,increasing,increasing,increasing,31.429001521739146,9.0,0.3,0.1166666666666666,0.1166666666666666,1.0
P009,H363_20240729_L4,363,Hotel Portuense,Grande Lisboa,2.0,2024_W31,2024-07-29,2024-07-08,2024-08-04,4,61,15.25,13,broad_deterioration,3,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_VIOLATION_RATIO', 'EMOTION_ENTROPY']",3,0,0,"['REVPAR_WEEK', 'TREVPAR_WEEK', 'TAXA_OCUPACAO']",[],decreasing,consistent,-13.015543401374199,decreasing,decreasing,decreasing,fluctuating,fluctuating,increasing,increasing,fluctuating,91.21713670765028,8.461538461538462,0.15,0.0777777777777777,0.0777777777777777,1.0
P010,H468_20240909_L4,468,Quinta do Mar da Luz,Algarve,,2024_W37,2024-09-09,2024-08-19,2024-09-15,4,40,10.0,11,broad_deterioration,4,"['SENTIMENT_SCORE_AVG', 'EXPECTATION_EXPERIENCE_GAP_AVG', 'SEMANTIC_MISALIGNMENT_SCORE_AVG', 'EMOTION_ENTROPY']",2,0,1,"['REVPAR_WEEK', 'TREVPAR_WEEK']",[],decreasing,moderate,-31.129575149205728,decreasing,increasing,decreasing,increasing,increasing,fluctuating,increasing,fluctuating,107.87513776418244,7.818181818181818,0.1083333333333333,0.175,0.2083333333333333,1.0
