pilot_id,decision_a_system,decision_b_system
P001,generic_llm,evidence_informed
P002,evidence_informed,generic_llm
P003,generic_llm,evidence_informed
P004,evidence_informed,generic_llm
P005,generic_llm,evidence_informed
P006,generic_llm,evidence_informed
P007,generic_llm,evidence_informed
P008,evidence_informed,generic_llm
P009,generic_llm,evidence_informed
P010,generic_llm,evidence_informed
P011,evidence_informed,generic_llm
P012,evidence_informed,generic_llm
P013,generic_llm,evidence_informed
P014,evidence_informed,generic_llm
P015,generic_llm,evidence_informed
P016,evidence_informed,generic_llm
P017,evidence_informed,generic_llm
P018,evidence_informed,generic_llm
P019,evidence_informed,generic_llm
P020,evidence_informed,generic_llm
P021,evidence_informed,generic_llm
P022,generic_llm,evidence_informed
P023,generic_llm,evidence_informed
P024,generic_llm,evidence_informed
P025,generic_llm,evidence_informed
P026,evidence_informed,generic_llm
P027,generic_llm,evidence_informed
P028,evidence_informed,generic_llm
P029,evidence_informed,generic_llm
P030,evidence_informed,generic_llm
P031,evidence_informed,generic_llm
P032,evidence_informed,generic_llm
P033,generic_llm,evidence_informed
P034,generic_llm,evidence_informed
P035,generic_llm,evidence_informed
P036,evidence_informed,generic_llm
P037,generic_llm,evidence_informed
P038,generic_llm,evidence_informed
P039,generic_llm,evidence_informed
P040,evidence_informed,generic_llm
